seriesId,matchId,playerId,playerLongName,playerBattingStyles,playerRoleType,battedType,runs,balls,minutes,fours,sixes,strikerate,isOut,fowOrder,fowWicketNum,fowRuns,fowOvers,fowOverNumber,dismissalType.1,bowlerId,bowlerLongName,bowlingStyles
1410370,1410479,46597,Moeen Ali,lhb,P,yes,59.0,32.0,37.0,5.0,4.0,184.37,True,1.0,2.0,87.0,9.4,10.0,1.0,83427.0,Pat Brown,rfm
1410370,1410479,65368,Alex Davies,rhb,C,yes,14.0,14.0,16.0,1.0,1.0,100.0,True,0.0,1.0,21.0,4.1,5.0,1.0,51498.0,Mohammad Amir,lfm
1410370,1410479,104560,Dan Mousley,lhb,P,yes,60.0,44.0,62.0,4.0,3.0,136.36,False,,,,,,12.0,,,
1410370,1410479,67482,Sam Hain,rhb,P,yes,52.0,30.0,41.0,4.0,2.0,173.33,False,,,,,,12.0,,,
1410370,1410479,105968,Jacob Bethell,lhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410479,102596,Chris Benjamin,rhb,WK,DNB,,,,,,,False,,,,,,,,,
1410370,1410479,71379,George Garton,lhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410479,106472,Zakary Foulkes,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410479,62682,Jake Lintott,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410479,53296,Danny Briggs,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410479,59957,Craig Miles,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410479,56774,Luis Reece,lhb,P,yes,15.0,15.0,12.0,3.0,0.0,100.0,True,0.0,1.0,18.0,2.4,3.0,1.0,71379.0,George Garton,lf
1410370,1410479,67659,Aneurin Donald,rhb,P,yes,30.0,19.0,32.0,2.0,3.0,157.89,True,2.0,3.0,70.0,7.4,8.0,1.0,62682.0,Jake Lintott,lws
1410370,1410479,57512,David Lloyd,rhb,P,yes,13.0,7.0,16.0,1.0,1.0,185.71,True,1.0,2.0,60.0,6.1,7.0,2.0,53296.0,Danny Briggs,sla
1410370,1410479,47730,Wayne Madsen,rhb,P,yes,19.0,15.0,24.0,2.0,0.0,126.66,True,4.0,5.0,112.0,12.3,13.0,1.0,53296.0,Danny Briggs,sla
1410370,1410479,34736,Samit Patel,rhb,C,yes,28.0,18.0,16.0,0.0,3.0,155.55,True,3.0,4.0,110.0,11.6,12.0,1.0,62682.0,Jake Lintott,lws
1410370,1410479,51416,Ross Whiteley,lhb,P,yes,10.0,7.0,9.0,0.0,1.0,142.85,True,5.0,6.0,123.0,14.1,15.0,3.0,53296.0,Danny Briggs,sla
1410370,1410479,89129,Brooke Guest,rhb,WK,yes,15.0,15.0,16.0,0.0,0.0,100.0,True,6.0,7.0,140.0,16.5,17.0,1.0,104560.0,Dan Mousley,ob
1410370,1410479,81537,Zak Chappell,rhb,P,yes,6.0,9.0,19.0,0.0,0.0,66.66,True,8.0,9.0,154.0,19.1,20.0,1.0,59957.0,Craig Miles,rm
1410370,1410479,71425,Alex Thomson,rhb,P,yes,3.0,3.0,4.0,0.0,0.0,100.0,True,7.0,8.0,143.0,17.2,18.0,1.0,106472.0,Zakary Foulkes,rm
1410370,1410479,51498,Mohammad Amir,lhb,P,yes,9.0,7.0,8.0,1.0,0.0,128.57,False,,,,,,12.0,,,
1410370,1410479,83427,Pat Brown,rhb,P,yes,0.0,1.0,1.0,0.0,0.0,0.0,True,9.0,10.0,154.0,19.2,20.0,2.0,59957.0,Craig Miles,rm
1410370,1410401,63097,Graham Clark,rhb,P,yes,0.0,2.0,2.0,0.0,0.0,0.0,True,0.0,1.0,0.0,0.2,1.0,1.0,71379.0,George Garton,lf
1410370,1410401,62559,Alex Lees,lhb,C,yes,8.0,11.0,28.0,0.0,0.0,72.72,True,1.0,2.0,68.0,5.5,6.0,3.0,104560.0,Dan Mousley,ob
1410370,1410401,64531,David Bedingham,rhb,P,yes,63.0,27.0,30.0,9.0,3.0,233.33,True,2.0,3.0,77.0,6.4,7.0,1.0,62682.0,Jake Lintott,lws
