seriesId,matchId,bowlerIds,bowlerLongNames,overNumber,overRuns,overWickets,totalWickets,overRunRate
1447498,1447499,100873,Lavish Kaushal,1,14,0,0,14.0
1447498,1447499,106205,Aditya Goyal,2,26,0,0,20.0
1447498,1447499,100873,Lavish Kaushal,3,5,1,1,15.0
1447498,1447499,77837,Gneshwar Naveen,4,2,1,2,11.75
1447498,1447499,100873,Lavish Kaushal,5,3,1,3,10.0
1447498,1447499,77837,Gneshwar Naveen,6,6,1,4,9.33
1447498,1447499,77825,Kranthi Kumar,7,14,0,4,10.0
1447498,1447499,100862,Shubhang Hegde,8,5,0,4,9.37
1447498,1447499,77825,Kranthi Kumar,9,10,0,4,9.44
1447498,1447499,100862,Shubhang Hegde,10,3,0,4,8.8
1447498,1447499,106205,Aditya Goyal,11,9,1,5,8.54
1447498,1447499,100862,Shubhang Hegde,12,2,0,5,8.0
1447498,1447499,106205,Aditya Goyal,13,2,2,7,7.53
1447498,1447499,115464,Mohsin Khan,14,4,0,7,7.28
1447498,1447499,106205,Aditya Goyal,15,9,0,7,7.4
1447498,1447499,115464,Mohsin Khan,16,4,2,9,7.18
1447498,1447499,100862,Shubhang Hegde,17,1,1,10,7.25
1447498,1447499,112891,Sharan Goud,1,3,0,0,3.0
1447498,1447499,77873,Vijaykumar Vyshak,2,14,0,0,8.5
1447498,1447499,112891,Sharan Goud,3,9,0,0,8.66
1447498,1447499,77873,Vijaykumar Vyshak,4,11,0,0,9.25
1447498,1447499,103067,Prithviraj Shekhawat,5,12,0,0,9.8
1447498,1447499,112918,Monish Reddy,6,11,0,0,10.0
1447498,1447499,103067,Prithviraj Shekhawat,7,10,0,0,10.0
1447498,1447499,112918,Monish Reddy,8,9,0,0,9.87
1447498,1447499,77821,Praveen Dubey,9,9,0,0,9.77
1447498,1447499,77873,Vijaykumar Vyshak,10,14,1,1,10.2
1447498,1447499,77821,Praveen Dubey,11,9,0,1,10.09
1447498,1447499,77873,Vijaykumar Vyshak,12,6,0,1,10.63
1447498,1447529,112878,Santokh Singh,1,17,0,0,17.0
1447498,1447529,77837,Gneshwar Naveen,2,14,0,0,15.5
1447498,1447529,115464,Mohsin Khan,3,8,2,2,13.0
1447498,1447529,77837,Gneshwar Naveen,4,7,0,2,11.5
1447498,1447529,115464,Mohsin Khan,5,9,0,2,11.0
1447498,1447529,100873,Lavish Kaushal,6,8,1,3,10.5
1447498,1447529,115464,Mohsin Khan,7,8,0,3,10.14
1447498,1447529,100873,Lavish Kaushal,8,2,1,4,9.12
1447498,1447529,77825,Kranthi Kumar,9,6,1,5,8.77
1447498,1447529,100862,Shubhang Hegde,10,5,1,6,8.4
1447498,1447529,77825,Kranthi Kumar,11,6,0,6,8.18
1447498,1447529,100862,Shubhang Hegde,12,12,0,6,8.5
1447498,1447529,77825,Kranthi Kumar,13,5,0,6,8.23
1447498,1447529,77837,Gneshwar Naveen,14,4,0,6,7.92
1447498,1447529,77825,Kranthi Kumar,15,5,1,7,7.73
1447498,1447529,100862,Shubhang Hegde,16,6,1,8,7.62
1447498,1447529,100873,Lavish Kaushal,17,8,0,8,7.64
1447498,1447529,77837,Gneshwar Naveen,18,6,0,8,7.55
1447498,1447529,100873,Lavish Kaushal,19,16,0,8,8.0
1447498,1447529,112878,Santokh Singh,20,3,2,10,8.15
1447498,1447529,112918,Monish Reddy,1,16,0,0,16.0
1447498,1447529,77873,Vijaykumar Vyshak,2,7,0,0,11.5
1447498,1447529,112918,Monish Reddy,3,20,0,0,14.33
1447498,1447529,77873,Vijaykumar Vyshak,4,16,0,0,14.75
1447498,1447529,103067,Prithviraj Shekhawat,5,9,0,0,13.6
1447498,1447529,118074,Abhishek Prabhakar,6,10,0,0,13.0
1447498,1447529,77839,Rithesh Bhatkal,7,2,0,0,11.42
1447498,1447529,118074,Abhishek Prabhakar,8,10,0,0,11.25
1447498,1447529,77839,Rithesh Bhatkal,9,6,0,0,10.66
1447498,1447529,103067,Prithviraj Shekhawat,10,8,0,0,10.4
1447498,1447529,77839,Rithesh Bhatkal,11,9,0,0,10.27
1447498,1447529,77873,Vijaykumar Vyshak,12,11,0,0,10.33
1447498,1447529,77839,Rithesh Bhatkal,13,3,1,1,9.76
1447498,1447529,103067,Prithviraj Shekhawat,14,5,0,1,9.42
1447498,1447529,118074,Abhishek Prabhakar,15,6,0,1,9.2
1447498,1447529,103067,Prithviraj Shekhawat,16,5,0,1,8.93
1447498,1447529,118074,Abhishek Prabhakar,17,12,0,1,9.11
1447498,1447529,112918,Monish Reddy,18,4,0,1,9.35
1447498,1447522,112918,Monish Reddy,1,7,0,0,7.0
1447498,1447522,77873,Vijaykumar Vyshak,2,2,1,1,4.5
1447498,1447522,112918,Monish Reddy,3,7,0,1,5.33
1447498,1447522,77873,Vijaykumar Vyshak,4,12,1,2,7.0
1447498,1447522,118074,Abhishek Prabhakar,5,4,1,3,6.4
1447498,1447522,106185,Shimon Luiz,6,7,0,3,6.5
1447498,1447522,118074,Abhishek Prabhakar,7,3,1,4,6.0
1447498,1447522,106185,Shimon Luiz,8,9,0,4,6.37
1447498,1447522,118074,Abhishek Prabhakar,9,5,2,6,6.22
1447498,1447522,106185,Shimon Luiz,10,7,0,6,6.3
1447498,1447522,118074,Abhishek Prabhakar,11,12,0,6,6.81
1447498,1447522,77821,Praveen Dubey,12,7,0,6,6.83
