seriesId,matchId,bowlerIds,bowlerLongNames,overNumber,overRuns,overWickets,isComplete,totalBalls,totalRuns,totalWickets,overRunRate,requiredRunRate,requiredRuns,remainingBalls,predictions,balls,events
1442984,1442987,79067,Dilshan Madushanka,1,13,0,True,6,13,0,13.0,0.0,0,114,"{'score': 184, 'winProbability': 65.42}","[{'_uid': 46360241, 'id': 46360241, 'inningNumber': 1, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.01, 'oversActual': 0.1, 'overNumber': 1, 'ballNumber': 1, 'totalRuns': 4, 'batsmanRuns': 4, 'isFour': True, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 28, 'wagonY': 62, 'wagonZone': 7, 'pitchLine': 'ON_THE_STUMPS', 'pitchLength': 'SHORT_OF_A_GOOD_LENGTH', 'shotType': 'PULL', 'shotControl': 1, 'timestamp': '2024-07-27T13:31:45.000Z', 'modified': '2024-07-27T13:31:48.000Z', 'batsmanPlayerId': 102743, 'bowlerPlayerId': 79067, 'outPlayerId': None, 'totalInningRuns': 4, 'totalInningWickets': 0, 'predictions': {'score': 182, 'winProbability': 63.45}, 'batsmanStatText': {'statInfo': '4* (1b)', 'short': 'YBK Jaiswal 4* (1b 1x4)', 'long': 'Yashasvi Jaiswal 4* (1b 1x4)'}, 'bowlerStatText': {'short': 'D Madushanka 0.1-0-4-0', 'long': 'Dilshan Madushanka 0.1-0-4-0'}}, {'_uid': 46360245, 'id': 46360245, 'inningNumber': 1, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.02, 'oversActual': 0.2, 'overNumber': 1, 'ballNumber': 2, 'totalRuns': 1, 'batsmanRuns': 1, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 113, 'wagonY': 209, 'wagonZone': 6, 'pitchLine': 'ON_THE_STUMPS', 'pitchLength': 'GOOD_LENGTH', 'shotType': 'FLICK', 'shotControl': 1, 'timestamp': '2024-07-27T13:32:14.000Z', 'modified': '2024-07-27T13:32:17.000Z', 'batsmanPlayerId': 102743, 'bowlerPlayerId': 79067, 'outPlayerId': None, 'totalInningRuns': 5, 'totalInningWickets': 0, 'predictions': {'score': 182, 'winProbability': 63.45}, 'batsmanStatText': {'statInfo': '5* (2b)', 'short': 'YBK Jaiswal 5* (2b 1x4)', 'long': 'Yashasvi Jaiswal 5* (2b 1x4)'}, 'bowlerStatText': {'short': 'D Madushanka 0.2-0-5-0', 'long': 'Dilshan Madushanka 0.2-0-5-0'}}, {'_uid': 46360250, 'id': 46360250, 'inningNumber': 1, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.03, 'oversActual': 0.3, 'overNumber': 1, 'ballNumber': 3, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 124, 'wagonY': 206, 'wagonZone': 6, 'pitchLine': 'OUTSIDE_OFFSTUMP', 'pitchLength': 'FULL', 'shotType': 'COVER_DRIVE', 'shotControl': 1, 'timestamp': '2024-07-27T13:33:01.000Z', 'modified': '2024-07-27T13:33:05.000Z', 'batsmanPlayerId': 95316, 'bowlerPlayerId': 79067, 'outPlayerId': None, 'totalInningRuns': 5, 'totalInningWickets': 0, 'predictions': {'score': 180, 'winProbability': 61.43}, 'batsmanStatText': {'statInfo': '0* (1b)', 'short': 'Shubman Gill 0* (1b)', 'long': 'Shubman Gill 0* (1b)'}, 'bowlerStatText': {'short': 'D Madushanka 0.3-0-5-0', 'long': 'Dilshan Madushanka 0.3-0-5-0'}}, {'_uid': 46360254, 'id': 46360254, 'inningNumber': 1, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.04, 'oversActual': 0.4, 'overNumber': 1, 'ballNumber': 4, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 111, 'wagonY': 203, 'wagonZone': 6, 'pitchLine': 'OUTSIDE_OFFSTUMP', 'pitchLength': 'FULL', 'shotType': 'COVER_DRIVE', 'shotControl': 1, 'timestamp': '2024-07-27T13:33:40.000Z', 'modified': '2024-07-27T13:33:42.000Z', 'batsmanPlayerId': 95316, 'bowlerPlayerId': 79067, 'outPlayerId': None, 'totalInningRuns': 5, 'totalInningWickets': 0, 'predictions': {'score': 179, 'winProbability': 60.41}, 'batsmanStatText': {'statInfo': '0* (2b)', 'short': 'Shubman Gill 0* (2b)', 'long': 'Shubman Gill 0* (2b)'}, 'bowlerStatText': {'short': 'D Madushanka 0.4-0-5-0', 'long': 'Dilshan Madushanka 0.4-0-5-0'}}, {'_uid': 46360256, 'id': 46360256, 'inningNumber': 1, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.05, 'oversActual': 0.5, 'overNumber': 1, 'ballNumber': 5, 'totalRuns': 4, 'batsmanRuns': 4, 'isFour': True, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 15, 'wagonY': 139, 'wagonZone': 7, 'pitchLine': 'ON_THE_STUMPS', 'pitchLength': 'SHORT_OF_A_GOOD_LENGTH', 'shotType': 'CUT_SHOT', 'shotControl': 1, 'timestamp': '2024-07-27T13:34:32.000Z', 'modified': '2024-07-27T13:34:35.000Z', 'batsmanPlayerId': 95316, 'bowlerPlayerId': 79067, 'outPlayerId': None, 'totalInningRuns': 9, 'totalInningWickets': 0, 'predictions': {'score': 181, 'winProbability': 62.45}, 'batsmanStatText': {'statInfo': '4* (3b)', 'short': 'Shubman Gill 4* (3b 1x4)', 'long': 'Shubman Gill 4* (3b 1x4)'}, 'bowlerStatText': {'short': 'D Madushanka 0.5-0-9-0', 'long': 'Dilshan Madushanka 0.5-0-9-0'}}, {'_uid': 46360258, 'id': 46360258, 'inningNumber': 1, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.06, 'oversActual': 0.6, 'overNumber': 1, 'ballNumber': 6, 'totalRuns': 4, 'batsmanRuns': 4, 'isFour': True, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 9, 'wagonY': 125, 'wagonZone': 7, 'pitchLine': 'OUTSIDE_OFFSTUMP', 'pitchLength': 'SHORT_OF_A_GOOD_LENGTH', 'shotType': 'CUT_SHOT', 'shotControl': 1, 'timestamp': '2024-07-27T13:35:18.000Z', 'modified': '2024-07-27T13:35:20.000Z', 'batsmanPlayerId': 95316, 'bowlerPlayerId': 79067, 'outPlayerId': None, 'totalInningRuns': 13, 'totalInningWickets': 0, 'predictions': {'score': 184, 'winProbability': 65.42}, 'batsmanStatText': {'statInfo': '8* (4b)', 'short': 'Shubman Gill 8* (4b 2x4)', 'long': 'Shubman Gill 8* (4b 2x4)'}, 'bowlerStatText': {'short': 'D Madushanka 1-0-13-0', 'long': 'Dilshan Madushanka 1-0-13-0'}}]",[]
1442984,1442987,78275,Asitha Fernando,2,9,0,True,12,22,0,11.0,0.0,0,108,"{'score': 185, 'winProbability': 66.38}",[],[]
1442984,1442987,101991,Maheesh Theekshana,3,14,0,True,18,36,0,12.0,0.0,0,102,"{'score': 192, 'winProbability': 72.68}",[],"[{'type': 'DRS_REVIEW', 'inningNumber': 1, 'oversUnique': 2.06, 'teamId': 8, 'isSuccessful': False}]"
1442984,1442987,78275,Asitha Fernando,4,15,0,True,24,51,0,12.75,0.0,0,96,"{'score': 204, 'winProbability': 81.49}",[],[]
1442984,1442987,101991,Maheesh Theekshana,5,8,0,True,30,59,0,11.8,0.0,0,90,"{'score': 207, 'winProbability': 83.3}",[],[]
1442984,1442987,79067,Dilshan Madushanka,6,15,1,True,36,74,1,12.33,0.0,0,84,"{'score': 205, 'winProbability': 82.11}",[],[]
1442984,1442987,78239,Wanindu Hasaranga,7,7,1,True,42,81,2,11.57,0.0,0,78,"{'score': 204, 'winProbability': 81.49}",[],[]
1442984,1442987,79067,Dilshan Madushanka,8,17,0,True,48,98,2,12.25,0.0,0,72,"{'score': 220, 'winProbability': 89.49}",[],"[{'type': 'DROPPED_CATCH', 'inningNumber': 1, 'oversUnique': 7.06, 'batsman': {'id': 61990, 'objectId': 446507, 'name': 'SA Yadav', 'longName': 'Suryakumar Yadav', 'mobileName': 'Suryakumar', 'indexName': 'Yadav, SA', 'battingName': 'SA Yadav', 'fieldingName': 'Yadav', 'slug': 'suryakumar-yadav', 'imageUrl': '/db/PICTURES/CMS/329300/329343.4.jpg', 'headshotImageUrl': '/db/PICTURES/CMS/331100/331163.png'}, 'fielders': [{'id': 78275, 'objectId': 786925, 'name': 'AM Fernando', 'longName': 'Asitha Fernando', 'mobileName': 'Asitha Fernando', 'indexName': 'Fernando, AM', 'battingName': 'AM Fernando', 'fieldingName': 'Fernando', 'slug': 'asitha-fernando', 'imageUrl': '/db/PICTURES/CMS/315800/315892.jpg', 'headshotImageUrl': '/db/PICTURES/CMS/323100/323125.png'}]}]"
1442984,1442987,78239,Wanindu Hasaranga,9,4,0,True,54,102,2,11.33,0.0,0,66,"{'score': 212, 'winProbability': 85.98}",[],[]
1442984,1442987,78233,Kamindu Mendis,10,9,0,True,60,111,2,11.1,0.0,0,60,"{'score': 213, 'winProbability': 86.47}",[],[]
1442984,1442987,78239,Wanindu Hasaranga,11,11,0,True,66,122,2,11.09,0.0,0,54,"{'score': 213, 'winProbability': 86.47}",[],"[{'type': 'DRS_REVIEW', 'inningNumber': 1, 'oversUnique': 10.02, 'teamId': 8, 'isSuccessful': False}]"
1442984,1442987,105938,Matheesha Pathirana,12,13,0,True,72,135,2,11.25,0.0,0,48,"{'score': 220, 'winProbability': 89.49}",[],[]
1442984,1442987,101991,Maheesh Theekshana,13,11,0,True,78,146,2,11.23,0.0,0,42,"{'score': 226, 'winProbability': 91.58}",[],"[{'type': 'DROPPED_CATCH', 'inningNumber': 1, 'oversUnique': 12.03, 'batsman': {'id': 86165, 'objectId': 931581, 'name': 'RR Pant', 'longName': 'Rishabh Pant', 'mobileName': 'Pant', 'indexName': 'Pant, RR', 'battingName': 'RR Pant', 'fieldingName': 'Pant', 'slug': 'rishabh-pant', 'imageUrl': '/db/PICTURES/CMS/304200/304221.png', 'headshotImageUrl': '/db/PICTURES/CMS/323000/323036.png'}, 'fielders': [{'id': 78275, 'objectId': 786925, 'name': 'AM Fernando', 'longName': 'Asitha Fernando', 'mobileName': 'Asitha Fernando', 'indexName': 'Fernando, AM', 'battingName': 'AM Fernando', 'fieldingName': 'Fernando', 'slug': 'asitha-fernando', 'imageUrl': '/db/PICTURES/CMS/315800/315892.jpg', 'headshotImageUrl': '/db/PICTURES/CMS/323100/323125.png'}]}]"
1442984,1442987,105938,Matheesha Pathirana,14,7,1,True,84,153,3,10.92,0.0,0,36,"{'score': 216, 'winProbability': 87.85}",[],"[{'type': 'DRS_REVIEW', 'inningNumber': 1, 'oversUnique': 13.02, 'teamId': 6, 'isSuccessful': False}]"
1442984,1442987,78239,Wanindu Hasaranga,15,6,0,True,90,159,3,10.6,0.0,0,30,"{'score': 209, 'winProbability': 84.42}",[],[]
1442984,1442987,78275,Asitha Fernando,16,13,0,True,96,172,3,10.75,0.0,0,24,"{'score': 212, 'winProbability': 85.98}",[],[]
1442984,1442987,105938,Matheesha Pathirana,17,9,1,True,102,181,4,10.64,0.0,0,18,"{'score': 213, 'winProbability': 86.47}",[],[]
1442984,1442987,101991,Maheesh Theekshana,18,11,0,True,108,192,4,10.66,0.0,0,12,"{'score': 215, 'winProbability': 87.41}",[],[]
1442984,1442987,105938,Matheesha Pathirana,19,11,2,True,114,203,6,10.68,0.0,0,6,"{'score': 216, 'winProbability': 87.85}",[],[]
1442984,1442987,78275,Asitha Fernando,20,10,1,True,120,213,7,10.65,0.0,0,0,"{'score': 213, 'winProbability': 86.47}",[],[]
